file_name,has_opinion_text,opinion_word_count,has_reasoning_summary_text,reasoning_summary_word_count,has_topic_text,thinking_flag,age,biological_sex,children,city_of_living,current_marital_status,education_level,employment_status,gender,hobbies,marital_status,migration_status,occupation,ocean.agreeableness.level,ocean.agreeableness.score,ocean.conscientiousness.level,ocean.conscientiousness.score,ocean.extraversion.level,ocean.extraversion.score,ocean.neuroticism.level,ocean.neuroticism.score,ocean.openness.level,ocean.openness.score,parents_education.parent_1,parents_education.parent_2,psychological_feature,religious_beliefs,sexual_orientation,time_onsocialmedia
20251013_113447_result.json,yes,316,yes,116,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113456_result.json,yes,377,yes,136,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113504_result.json,yes,362,yes,127,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113526_result.json,yes,440,yes,123,yes,con thinking,57,female,0,Philadelphia,,vocational diploma,employed part-time,woman,hiking;birdwatching;gardening;rock climbing,widowed,immigrant,waiter/waitress,moderate,65,moderate,49,moderate,66,low,26,moderate,45,vocational diploma,upper secondary,curious,Atheist,heterosexual,You spend roughly one hour daily on social media
20251013_113535_result.json,yes,353,yes,165,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113543_result.json,yes,319,yes,148,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113556_result.json,yes,228,yes,204,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113604_result.json,yes,354,yes,106,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113639_result.json,yes,366,yes,113,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113647_result.json,yes,318,yes,130,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113728_result.json,yes,298,yes,109,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113814_result.json,yes,244,yes,149,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113840_result.json,yes,386,yes,123,yes,con thinking,79,male,5,Washington DC,,vocational diploma,employed part-time,man,videogames;classical music;photography;rock climbing;running,in a relationship,native American,electrician,high,88,low,24,moderate,56,moderate,58,moderate,42,master's degree,bachelor's degree,anxious,Islam,bisexual,You spend several hours daily on social media
20251013_113910_result.json,yes,314,yes,79,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113918_result.json,yes,312,yes,138,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113926_result.json,yes,340,yes,120,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_113939_result.json,yes,468,yes,153,yes,con thinking,38,male,3,Washington DC,,PhD,self-employed,transgender,birdwatching;volunteering;cycling;photography,widowed,native American,retail worker,high,85,moderate,55,moderate,63,moderate,34,moderate,42,primary school,vocational diploma,normal,Christianity,heterosexual,You spend roughly one hour daily on social media
20251013_113945_result.json,yes,230,yes,93,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114000_result.json,yes,251,yes,89,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114009_result.json,yes,358,yes,158,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114015_result.json,yes,256,yes,83,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114032_result.json,yes,250,yes,82,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114056_result.json,yes,343,yes,101,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114103_result.json,yes,264,yes,140,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114109_result.json,yes,192,yes,105,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114116_result.json,yes,306,yes,124,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114124_result.json,yes,311,yes,109,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114131_result.json,yes,258,yes,92,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114203_result.json,yes,207,yes,90,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114230_result.json,yes,278,yes,139,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114239_result.json,yes,322,yes,131,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114245_result.json,yes,250,yes,111,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114326_result.json,yes,338,yes,94,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114342_result.json,yes,297,yes,99,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251013_114349_result.json,yes,242,yes,117,yes,con thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
